Symbol,Company Name,Name of Person,Category of Person,Securities Acquired/Disposed (No.),Securities Acquired/Disposed (Value),Securities Held Post (%),Date From,Date To,Details URL
CHEMBONDCH,CHEMBOND CHEMICALS LIMITED,MAMTA N SHAH,Promoter Group,20500,"4,715,000.00",0.77%,06-08-2026,06-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26029_20260809_150936453_WEB.html
TRUALT,TRUALT BIOENERGY LIMITED,NIRANI HOLDINGS PRIVATE LIMITED,Promoter Group,21600,"10,000,363.00",1.45%,05-08-2026,05-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_24291_20260807_153253079_WEB.html
BMWVENTLTD,BMW VENTURES LIMITED,SHIVANSH KISHOREPURIA,Promoter Group,65000,"3,915,213.00",0.17%,06-08-2026,06-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_24065_20260807_133229209_WEB.html
BMWVENTLTD,BMW VENTURES LIMITED,SHIVANSH KISHOREPURIA,Promoter Group,85000,"5,107,928.00",0.10%,05-08-2026,05-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_24065_20260806_160329737_WEB.html
THANGAMAYL,THANGAMYAYIL JEWELLERY LIMITED,THANGAMAYIL GOLD AND DIAMOND PRIVATE LIMITED,Promoter Group,3600,"17,318,295.00",5.48%,04-08-2026,04-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_3067_20260806_104908492_WEB.html
SESHAPAPER,SESHASAYEE PAPER AND BOARDS LIMITED,DHANASHREE INVESTMENTS PRIVATE LIMITED,Promoter Group,20695,"4,850,664.00",4.98%,30-07-2026,30-07-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_118_20260730_173802218_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,2700,"2,182,282.00",18.42%,29-06-2026,29-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260701_134241086_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,300,"242,700.00",18.42%,29-06-2026,29-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260701_134241086_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,500,"411,910.00",18.42%,30-06-2026,30-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260701_134241086_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,3000,"2,482,834.00",18.44%,30-06-2026,30-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260701_134241086_WEB.html
TIGERLOGS,Tiger Logistics (India) Limited,Brahma Suppliers Private Limited,Promoter Group,25000,"934,500.00",33.25%,29-06-2026,29-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26474_20260630_200813429_WEB.html
