Symbol,Company Name,Name of Person,Category of Person,Securities Acquired/Disposed (No.),Securities Acquired/Disposed (Value),Securities Held Post (%),Date From,Date To,Details URL
NIITMTS,NIIT Learning Systems Limited,Thadani Family Trust (Through its Trustee Vijay Kumar Thadani),Promoter Group,100000,"22,291,000.00",16.77%,01-06-2026,01-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260603_164308580_WEB.html
NIITLTD,NIIT Limited,Pawar Family Trust,Promoter Group,1093500,"89,824,885.00",18.54%,01-06-2026,02-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260603_162954726_WEB.html
NIITLTD,NIIT Limited,Thadani Family Trust,Promoter Group,1093500,"89,831,690.00",18.94%,01-06-2026,02-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260603_162954726_WEB.html
AURUM,Aurum PropTech Limited,Aurum RealEstate Developers Limited,Promoter,25000,"4,513,474.00",47.61%,02-06-2026,02-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260603_102534548_WEB.html
JARO,JARO INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH LIMITED,Sanjay Namdeo Salunkhe,Promoter,23245,"13,304,569.00",54.59%,01-06-2026,01-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260602_144114751_WEB.html
LANDMARK,Landmark Cars Limited,Sanjay Karsandas Thakker,Promoter and Director,10000,"3,763,008.00",36.40%,01-06-2026,01-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260602_002703298_WEB.html
LANDMARK,Landmark Cars Limited,Aryaman Sanjay Thakker,Promoter Group,10000,"3,702,960.00",0.06%,01-06-2026,01-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260602_002703298_WEB.html
EUROPRATIK,Euro Pratik Sales Limited,Jai Gunvantraj Singhvi,Promoter and Director,63815,"16,441,764.00",5.67%,29-05-2026,29-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260602_002532931_WEB.html
EUROPRATIK,Euro Pratik Sales Limited,Jai Gunwantraj Singhvi,Promoter,76467,"19,934,947.00",22.91%,26-05-2026,26-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260527_105827_WEB.html
EUROPRATIK,Euro Pratik Sales Limited,Pratik Gunvantraj Singhvi,Promoter and Director,545130,"141,090,547.00",5.56%,26-05-2026,26-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260527_105827_WEB.html
EUROPRATIK,Euro Pratik Sales Limited,Jai Gunvantraj Singhvi,Promoter and Director,434276,"113,020,329.00",5.60%,26-05-2026,26-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260527_105827_WEB.html
AURUM,AURUM PROPTECH LIMITED,Aurum RealEstate Developers Limited,Promoter,20000,"3,570,642.00",47.56%,25-05-2026,25-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260525_202919_WEB.html
APLLTD,Alembic Pharmaceuticals Limited,Nirayu Private Limited,Promoter Group,60000,"45,478,352.00",35.68%,22-05-2026,25-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260525_194950_WEB.html
SBCL,SHIVALIK BIMETAL CONTROLS LIMITED,KABIR GHUMMAN,Promoter and Director,10000,"6,826,578.00",3.79%,22-05-2026,22-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260525_173312_WEB.html
SBCL,SHIVALIK BIMETAL CONTROLS LIMITED,SUMER GHUMMAN,Promoter and Director,1470,"996,363.00",3.77%,22-05-2026,22-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260525_173312_WEB.html
FIBERWEB,Fiberweb (India) Limited,Pravin V Sheth,Promoter and Director,10000,"291,869.00",5.81%,21-05-2026,21-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260525_130504_WEB.html
FIBERWEB,Fiberweb (India) Limited,GAYATRI PIPES AND FITTINGS PRIVATE LIMITED,Promoter Group,13002,"383,506.00",12.37%,21-05-2026,21-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260525_130504_WEB.html
EUROPRATIK,Euro Pratik Sales Limited,Jai Gunvantraj Singhvi,Promoter and Director,98988,"26,045,723.00",5.18%,22-05-2026,22-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260525_111946_WEB.html
JARO,JARO INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH LIMITED,Sanjay Namdeo Salunkhe,Promoter,209189,"105,910,284.00",53.77%,19-05-2026,19-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260520_211824_WEB.html
STYLAMIND,STYLAM INDUSTRIES LIMITED,"Aica Kogyo Company, Limited",Promoter,466116,"1,048,761,000.00",29.87%,22-04-2026,06-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260518_170920_WEB.html
